ip_range,country,region,city,postal
77.198.223.0/24,FR,Hauts-de-France,Lille,59000
77.198.225.0/24,FR,Provence-Alpes-Côte d'Azur,Saint-Martin-de-Crau,13310
77.198.227.0/24,FR,Bourgogne-Franche-Comté,Véron,89510
77.198.224.0/24,FR,Brittany,Saint-Malo,35400
77.198.228.0/24,FR,Île-de-France,Paris,75000
77.198.220.0/24,FR,Hauts-de-France,Lille,59000
77.198.230.0/24,FR,Grand Est,Troyes,10012 CEDEX
77.198.231.0/24,FR,Brittany,Chantepie,35572 CEDEX
77.198.226.0/24,FR,Provence-Alpes-Côte d'Azur,Saint-Martin-de-Crau,13558 CEDEX
77.198.229.0/24,FR,Île-de-France,Paris,75026 CEDEX 01
77.198.233.0/24,FR,Île-de-France,Paris,75015
77.198.234.0/24,FR,Île-de-France,Paris,75015
77.198.232.0/24,FR,Île-de-France,Paris,75015
77.198.238.0/24,FR,Hauts-de-France,Saint-Quentin,2100
77.198.236.0/24,FR,Auvergne-Rhône-Alpes,Brignais,69530
77.198.235.0/24,FR,Île-de-France,Paris,75015
77.198.237.0/24,FR,Auvergne-Rhône-Alpes,Brignais,69530
77.198.239.0/24,FR,Provence-Alpes-Côte d'Azur,Jonquières,84150
77.198.240.0/24,FR,Provence-Alpes-Côte d'Azur,Vernègues,13116
77.198.242.0/24,FR,Auvergne-Rhône-Alpes,Brignais,69530
77.198.244.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.241.0/24,FR,Nouvelle-Aquitaine,Fouras,17450
77.198.245.0/24,FR,Centre,Tours,37000
77.198.247.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.243.0/24,FR,Auvergne-Rhône-Alpes,Brignais,69530
77.198.249.0/24,FR,Île-de-France,Paris,75000
77.198.248.0/24,FR,Auvergne-Rhône-Alpes,Annecy,74000
77.198.250.0/24,FR,Île-de-France,Corbeil-Essonnes,91813 CEDEX
77.198.251.0/24,FR,Île-de-France,Corbeil-Essonnes,91813 CEDEX
77.198.253.0/24,FR,Île-de-France,Paris,75665 CEDEX 14
77.198.252.0/24,FR,Hauts-de-France,Amiens,80046 CEDEX 2
77.198.254.0/24,FR,Occitanie,Roujan,34320
77.198.246.0/24,FR,Centre,Tours,37098 CEDEX 2
77.198.255.0/24,FR,Nouvelle-Aquitaine,Marennes,17320
77.199.0/24.0/24,FR,Île-de-France,Paris,75000
77.199.1.0/24,FR,Île-de-France,Paris,75000
77.199.4.0/24,FR,Grand Est,Mulhouse,68050 CEDEX 1
77.199.5.0/24,FR,Grand Est,Mulhouse,68077 CEDEX 2
77.199.3.0/24,FR,Île-de-France,Paris,75000
77.199.6.0/24,FR,Normandy,Rouen,76914 CEDEX 9
77.199.7.0/24,FR,Normandy,Rouen,76000
77.199.8.0/24,FR,Normandy,Évrecy,14210
77.199.9.0/24,FR,Île-de-France,Chatou,78409 CEDEX
77.199.12.0/24,FR,Île-de-France,Paris,75015
77.199.10.0/24,FR,Île-de-France,Paris,75015
77.199.11.0/24,FR,Île-de-France,Paris,75015
77.199.15.0/24,FR,Île-de-France,Paris,75015
77.199.13.0/24,FR,Île-de-France,Paris,75015
77.199.16.0/24,FR,Île-de-France,Paris,75000
77.199.17.0/24,FR,Hauts-de-France,Auchel,62260
77.199.14.0/24,FR,Île-de-France,Paris,75015
77.199.18.0/24,FR,Hauts-de-France,Auchy-lès-Hesdin,62770
77.199.19.0/24,FR,Occitanie,Roquettes,31120
77.199.20.0/24,FR,Brittany,Luitré,35133
77.199.22.0/24,FR,Pays de la Loire,La Planche,44140
77.199.23.0/24,FR,Île-de-France,Paris,75000
77.199.24.0/24,FR,Île-de-France,Paris,75000
77.199.27.0/24,FR,Île-de-France,Paris,75000
77.199.29.0/24,FR,Île-de-France,Paris,75000
77.199.28.0/24,FR,Hauts-de-France,Feuquières-en-Vimeu,80210
77.199.25.0/24,FR,Île-de-France,Paris,75000
77.199.30.0/24,FR,Île-de-France,Paris,75000
77.199.33.0/24,FR,Île-de-France,Paris,75000
77.199.34.0/24,FR,Île-de-France,Paris,75000
77.199.35.0/24,FR,Île-de-France,Paris,75000
77.199.31.0/24,FR,Île-de-France,Noisy-le-Grand,93160
77.199.32.0/24,FR,Île-de-France,Paris,75000
77.199.21.0/24,FR,Île-de-France,Paris,75000
77.199.26.0/24,FR,Île-de-France,Paris,75000
77.199.36.0/24,FR,Île-de-France,Paris,75000
77.199.37.0/24,FR,Île-de-France,Paris,75000
77.199.40.0/24,FR,Île-de-France,Paris,75000
